Index,Campaign Period Sales,Buy,Historical Sales Volume,Number of Prior Year Transactions,Number of Transactions,Purchase Breadth,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group,Repurchase Method,Last Transaction Channel,Number of Employees,Service Level,Do No Disturb,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies
11744,0.0,0,546611.4285714286,15,15,1,4891,3765,Short-term,English,NOTICE,MAIL,6-10,Standard,False,False,False,False,False,False,False,False,False,False,True
11745,0.0,0,495377.28,17,17,1,13861,5070,Mid-term,English,NOTICE,MAIL,11-50,Premier,False,False,False,False,False,False,False,False,False,False,True
11746,0.0,0,2405202.0000000005,29,29,1,9172,1665,Mid-term,English,NOTICE,WEB,500+,Premier,False,True,False,False,False,False,False,False,False,False,True
11747,0.0,0,679082.6666666666,20,20,1,9096,3099,Mid-term,English,NOTICE,MAIL,11-50,Standard,False,True,False,False,False,False,False,False,False,False,True
11748,0.0,0,438935.72571428574,17,17,3,11227,3540,Mid-term,English,NOTICE,MAIL,6-10,Standard,False,False,True,True,False,False,False,False,False,False,True
11749,0.0,0,605483.3142857143,19,19,1,9224,2783,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
11750,0.0,0,198900.9523809524,22,22,1,9248,2104,Mid-term,English,NOTICE,MAIL,6-10,Standard,False,True,False,False,False,False,False,False,False,False,True
11751,0.0,0,726077.4857142859,15,15,2,10953,3292,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,True,False,True,False,False,False,False,False,False,True
11752,0.0,0,107946.38400000002,21,21,1,11104,4040,Mid-term,English,AUTO RENEW,AUTO RENEW,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
11753,0.0,0,623352.0,15,15,1,6583,2792,Mid-term,English,NOTICE,WEB,11-50,Standard,False,True,False,False,False,False,False,False,False,False,True
11754,0.0,0,2245209.2000000007,25,25,1,9582,3801,Mid-term,Unknown,AUTO RENEW,AUTO RENEW,11-50,Standard,False,True,False,False,False,False,False,False,False,False,True
11755,0.0,0,458119.20000000007,21,21,1,8656,2280,Mid-term,English,NOTICE,MAIL,51-100,Standard,False,False,False,False,False,False,False,False,False,False,True
11756,0.0,0,18221.866666666672,1,1,1,13934,1986,Mid-term,Unknown,NOTICE,MAIL,11-50,Standard,False,False,False,False,False,False,False,False,False,False,True
11757,0.0,0,240002.28571428577,15,15,2,10770,3132,Mid-term,European,NOTICE,MAIL,6-10,Premier,False,True,True,False,False,False,False,False,False,False,True
